path,slug,titulo,lines,exercicios,exemplos,portas,with_fonte,with_solucao,with_opcoes,passos,pct_passos,aplicacao,compreensao,modelagem,desafio,demonstracao,has_audio,has_fontes_section,books_header,n_flags,flags
content/aulas/ano-1/trim-1/licao-01-conjuntos-intervalos.mdx,"""licao-01-conjuntos-intervalos""","""Lição 1 — Conjuntos numéricos, intervalos, notação""",1145,40,5,7,40,40,40,10,0.25,24,6,6,4,0,True,True,0,2,MIX-OFF-demonstracao(0%)|FEW-BOOKS-HEADER(0)
content/aulas/ano-1/trim-1/licao-02-funcoes.mdx,"""licao-02-funcoes""","""Lição 2 — Funções: definição, domínio, imagem""",1113,45,5,7,45,45,45,8,0.18,29,5,7,4,0,True,True,2,1,MIX-OFF-demonstracao(0%)
content/aulas/ano-1/trim-1/licao-03-afim.mdx,"""licao-03-afim""","""Lição 3 — Funções afins (1.º grau)""",1109,45,5,7,45,45,45,10,0.22,26,7,7,2,3,True,True,2,0,
content/aulas/ano-1/trim-1/licao-04-quadratica.mdx,"""licao-04-quadratica""","""Lição 4 — Função quadrática""",1084,40,5,7,40,40,40,11,0.28,22,7,7,2,2,True,True,2,0,
content/aulas/ano-1/trim-1/licao-05-composicao-inversa.mdx,"""licao-05-composicao-inversa""","""Lição 5 — Composição e função inversa""",1139,44,5,7,44,44,44,11,0.25,26,6,8,2,2,True,True,2,0,
content/aulas/ano-1/trim-1/licao-06-exponencial.mdx,"""licao-06-exponencial""","""Lição 6 — Funções exponenciais""",1106,45,5,7,45,45,45,8,0.18,28,7,5,4,1,True,True,2,0,
content/aulas/ano-1/trim-1/licao-07-logaritmo.mdx,"""licao-07-logaritmo""","""Lição 7 — Funções logarítmicas""",1101,45,5,7,45,45,45,8,0.18,7,27,7,2,2,True,True,3,2,MIX-OFF-aplicacao(16%)|MIX-OFF-compreensao(60%)
content/aulas/ano-1/trim-1/licao-08-crescimento.mdx,"""licao-08-crescimento""","""Lição 8 — Crescimento exponencial, polinomial e logarítmico""",1125,45,5,7,45,45,45,8,0.18,23,6,11,4,1,True,True,1,1,FEW-BOOKS-HEADER(1)
content/aulas/ano-1/trim-1/licao-09-taxa-variacao.mdx,"""licao-09-taxa-variacao""","""Lição 9 — Taxa de variação média — porta de entrada do cálculo""",1059,45,5,7,45,45,45,10,0.22,28,5,6,4,2,True,True,2,0,
content/aulas/ano-1/trim-1/licao-10-consolidacao-trim-1.mdx,"""licao-10-consolidacao-trim-1""","""Lição 10 — Consolidação Trim 1: workshop integrador""",1052,45,5,7,45,45,45,9,0.2,36,4,5,0,0,True,True,2,2,MIX-OFF-desafio(0%)|MIX-OFF-demonstracao(0%)
content/aulas/ano-1/trim-2/licao-11-trig-triangulo.mdx,"""licao-11-trig-triangulo""","""Lição 11 — Razões trigonométricas no triângulo retângulo""",1075,45,5,7,45,45,45,3,0.07,45,0,0,0,0,True,True,3,5,FEW-PASSOS(3/~11)|MIX-OFF-compreensao(0%)|MIX-OFF-modelagem(0%)|MIX-OFF-desafio(0%)|MIX-OFF-demonstracao(0%)
content/aulas/ano-1/trim-2/licao-12-circulo-trigonometrico.mdx,"""licao-12-circulo-trigonometrico""","""Lição 12 — Círculo trigonométrico e radianos""",1071,45,5,7,45,45,45,9,0.2,45,0,0,0,0,True,True,2,4,MIX-OFF-compreensao(0%)|MIX-OFF-modelagem(0%)|MIX-OFF-desafio(0%)|MIX-OFF-demonstracao(0%)
content/aulas/ano-1/trim-2/licao-13-funcoes-trigonometricas.mdx,"""licao-13-funcoes-trigonometricas""","""Lição 13 — Funções trigonométricas""",1063,41,5,7,41,41,41,12,0.29,24,7,7,2,1,True,True,3,0,
content/aulas/ano-1/trim-2/licao-14-equacoes-trigonometricas.mdx,"""licao-14-equacoes-trigonometricas""","""Lição 14 — Equações e inequações trigonométricas""",1127,45,5,7,45,45,45,11,0.24,27,7,7,2,2,True,True,3,0,
content/aulas/ano-1/trim-2/licao-15-leis-senos-cossenos.mdx,"""licao-15-leis-senos-cossenos""","""Lição 15 — Lei dos senos e lei dos cossenos""",1172,45,5,7,45,45,45,11,0.24,26,7,8,2,2,True,True,3,0,
content/aulas/ano-1/trim-2/licao-16-sequencias.mdx,"""licao-16-sequencias""","""Lição 16 — Sequências numéricas""",1068,45,5,7,45,45,45,10,0.22,19,7,15,2,2,True,True,2,0,
content/aulas/ano-1/trim-2/licao-17-pa.mdx,"""licao-17-pa""","""Lição 17 — Progressões aritméticas (PA)""",1077,45,5,7,45,45,45,16,0.36,32,2,7,2,2,True,True,2,0,
content/aulas/ano-1/trim-2/licao-18-pg.mdx,"""licao-18-pg""","""Lição 18 — Progressões geométricas (PG)""",1130,45,5,7,45,45,45,8,0.18,25,8,8,2,2,True,True,3,0,
content/aulas/ano-1/trim-2/licao-19-limite-intuitivo.mdx,"""licao-19-limite-intuitivo""","""Lição 19 — Limite intuitivo de sequências""",1167,45,5,7,45,45,45,8,0.18,27,7,7,2,2,True,True,3,0,
content/aulas/ano-1/trim-2/licao-20-consolidacao-trim-2.mdx,"""licao-20-consolidacao-trim-2""","""Lição 20 — Consolidação Trim 2: trigonometria, sequências e limite intuitivo""",1045,41,5,7,41,41,41,9,0.22,23,7,7,2,2,True,True,2,0,
content/aulas/ano-1/trim-3/licao-21-plano-cartesiano.mdx,"""licao-21-plano-cartesiano""","""Lição 21 — Plano cartesiano: distância, ponto médio""",1099,44,5,7,44,44,44,10,0.23,27,7,7,2,1,True,True,3,0,
